Id,SalePrice
1461,113650
1462,156131
1463,179425
1464,192255
1465,206590
1466,173786
1467,180976
1468,163827
1469,204707
1470,120112
1471,195354
1472,102697
1473,98419
1474,146192
1475,118557
1476,341604
1477,257907
1478,282733
1479,280916
1480,450249
1481,340923
1482,227176
1483,174583
1484,168908
1485,189227
1486,198259
1487,319098
1488,247332
1489,193345
1490,221367
1491,194189
1492,88869
1493,188739
1494,288637
1495,296879
1496,232524
1497,178592
1498,164349
1499,161413
1500,152635
1501,170079
1502,153746
1503,273465
1504,248988
1505,228633
1506,193471
1507,247326
1508,201081
1509,159128
1510,146092
1511,148461
1512,171728
1513,147356
1514,152065
1515,197179
1516,153109
1517,168895
1518,133738
1519,214729
1520,129231
1521,133660
1522,176365
1523,111130
1524,122468
1525,118930
1526,117946
1527,110136
1528,138763
1529,146517
1530,188134
1531,113991
1532,96602
1533,140720
1534,128112
1535,147497
1536,110234
1537,71149
1538,153164
1539,200920
1540,88742
1541,143302
1542,139044
1543,186889
1544,83606
1545,119786
1546,134977
1547,122034
1548,132899
1549,123251
1550,139708
1551,113925
1552,132061
1553,142616
1554,121768
1555,158075
1556,87331
1557,107278
1558,108189
1559,100661
1560,138965
1561,111550
1562,132252
1563,122519
1564,159111
1565,148427
1566,236318
1567,80422
1568,233829
1569,125996
1570,140119
1571,119322
1572,142750
1573,215751
1574,114158
1575,233578
1576,247460
1577,177345
1578,152485
1579,147791
1580,195215
1581,146914
1582,125112
1583,295267
1584,218759
1585,142924
1586,66525
1587,102948
1588,147229
1589,98477
1590,135196
1591,93575
1592,124234
1593,125820
1594,123870
1595,127141
1596,229771
1597,193748
1598,219294
1599,180842
1600,176154
1601,61473
1602,119158
1603,78377
1604,258244
1605,253371
1606,171527
1607,178771
1608,212806
1609,182936
1610,147037
1611,145708
1612,163233
1613,164189
1614,122670
1615,88969
1616,80059
1617,92206
1618,125873
1619,137290
1620,184335
1621,141583
1622,140526
1623,268079
1624,217533
1625,124089
1626,177290
1627,188194
1628,288540
1629,184752
1630,345814
1631,228761
1632,250438
1633,177961
1634,188872
1635,179117
1636,158033
1637,190490
1638,186034
1639,190670
1640,252240
1641,188475
1642,231996
1643,218514
1644,238030
1645,198344
1646,160977
1647,171299
1648,131161
1649,135838
1650,115820
1651,125347
1652,103566
1653,103858
1654,148730
1655,144675
1656,141037
1657,149327
1658,148595
1659,127241
1660,157102
1661,392391
1662,386732
1663,354183
1664,472893
1665,292129
1666,327639
1667,338660
1668,323607
1669,301212
1670,328741
1671,267597
1672,400677
1673,302070
1674,257878
1675,206288
1676,202365
1677,228917
1678,446500
1679,368808
1680,318127
1681,242538
1682,318750
1683,203113
1684,176572
1685,174501
1686,177194
1687,174591
1688,193572
1689,196828
1690,198921
1691,190865
1692,257735
1693,168646
1694,181840
1695,167646
1696,267621
1697,168830
1698,341312
1699,300646
1700,249222
1701,275647
1702,241431
1703,244014
1704,281679
1705,236927
1706,230022
1707,205433
1708,199582
1709,265481
1710,219386
1711,264504
1712,255639
1713,261652
1714,223329
1715,208471
1716,176561
1717,177479
1718,136092
1719,207950
1720,241837
1721,163992
1722,121587
1723,151728
1724,206819
1725,239275
1726,183882
1727,160142
1728,176285
1729,165018
1730,152500
1731,126204
1732,124405
1733,115310
1734,122451
1735,122958
1736,109910
1737,291643
1738,236255
1739,243554
1740,211375
1741,186301
1742,170134
1743,180362
1744,283965
1745,217083
1746,204446
1747,212044
1748,220279
1749,150437
1750,134359
1751,249707
1752,116962
1753,151967
1754,205159
1755,171129
1756,124325
1757,118310
1758,143743
1759,162050
1760,165120
1761,150836
1762,172316
1763,184009
1764,117028
1765,172937
1766,190270
1767,216445
1768,137408
1769,175079
1770,149480
1771,127358
1772,137406
1773,120712
1774,145541
1775,142802
1776,129528
1777,107639
1778,138695
1779,113568
1780,181680
1781,126299
1782,86075
1783,144512
1784,105679
1785,111260
1786,137143
1787,169686
1788,59994
1789,95934
1790,86456
1791,187523
1792,159963
1793,139314
1794,158493
1795,135967
1796,128524
1797,121662
1798,122204
1799,112090
1800,127404
1801,126538
1802,142975
1803,153162
1804,141305
1805,139089
1806,123972
1807,138987
1808,120591
1809,116602
1810,134505
1811,91221
1812,100113
1813,119754
1814,91374
1815,56066
1816,91734
1817,112108
1818,147697
1819,130357
1820,67584
1821,114675
1822,159883
1823,51190
1824,124982
1825,133593
1826,106491
1827,107443
1828,132267
1829,127138
1830,144141
1831,149603
1832,83141
1833,141752
1834,125140
1835,120972
1836,118665
1837,86415
1838,127154
1839,103007
1840,141164
1841,132993
1842,90489
1843,128973
1844,145143
1845,141641
1846,153373
1847,160416
1848,62912
1849,110512
1850,118595
1851,151833
1852,122009
1853,127699
1854,166271
1855,149700
1856,226600
1857,160110
1858,135843
1859,118587
1860,139300
1861,117919
1862,310897
1863,292845
1864,292895
1865,309047
1866,302396
1867,228243
1868,270498
1869,205019
1870,226366
1871,244199
1872,173259
1873,245751
1874,143256
1875,198326
1876,198295
1877,210425
1878,201474
1879,130418
1880,131757
1881,241676
1882,245695
1883,187804
1884,202063
1885,239748
1886,276751
1887,216466
1888,267402
1889,169638
1890,115300
1891,138163
1892,99910
1893,128425
1894,122558
1895,134362
1896,124743
1897,117435
1898,121892
1899,158250
1900,161415
1901,163486
1902,152696
1903,216177
1904,141723
1905,196233
1906,138339
1907,211719
1908,112625
1909,138821
1910,121194
1911,217925
1912,307192
1913,145273
1914,70513
1915,277414
1916,56614
1917,256814
1918,142214
1919,176331
1920,161364
1921,332865
1922,284439
1923,223993
1924,224976
1925,198837
1926,332249
1927,132326
1928,164162
1929,118521
1930,130520
1931,139618
1932,140239
1933,173473
1934,180556
1935,173011
1936,191576
1937,183928
1938,171964
1939,240538
1940,202665
1941,168356
1942,183955
1943,229004
1944,329089
1945,362887
1946,161977
1947,173421
1948,173376
1949,231450
1950,190730
1951,255542
1952,219106
1953,169882
1954,187748
1955,136898
1956,303661
1957,159536
1958,293148
1959,148110
1960,112668
1961,121391
1962,103360
1963,108764
1964,107742
1965,143327
1966,145356
1967,293337
1968,396549
1969,362686
1970,405353
1971,455060
1972,360489
1973,281401
1974,320672
1975,471030
1976,287866
1977,352068
1978,348492
1979,324517
1980,195883
1981,331279
1982,234568
1983,218635
1984,176652
1985,232866
1986,216663
1987,191770
1988,172779
1989,196550
1990,209175
1991,240109
1992,216738
1993,171623
1994,233029
1995,185584
1996,246508
1997,297276
1998,308454
1999,262069
2000,309558
2001,266836
2002,239279
2003,261915
2004,290484
2005,223360
2006,224300
2007,253110
2008,213213
2009,191366
2010,195285
2011,138072
2012,172607
2013,176511
2014,185877
2015,211172
2016,187862
2017,197307
2018,118756
2019,128656
2020,106264
2021,107023
2022,183696
2023,141284
2024,263920
2025,350733
2026,178613
2027,156769
2028,157065
2029,161485
2030,265284
2031,238868
2032,245615
2033,257674
2034,170968
2035,218727
2036,199292
2037,201999
2038,298254
2039,234780
2040,279782
2041,268103
2042,209916
2043,176063
2044,181962
2045,213800
2046,140341
2047,139585
2048,143193
2049,146966
2050,175068
2051,105205
2052,127291
2053,146390
2054,93560
2055,151176
2056,142433
2057,116548
2058,213562
2059,129780
2060,171276
2061,174124
2062,129777
2063,116172
2064,135917
2065,118901
2066,167401
2067,104454
2068,150734
2069,80697
2070,108040
2071,96516
2072,138695
2073,132565
2074,191460
2075,153933
2076,121765
2077,150684
2078,125621
2079,137372
2080,116423
2081,133184
2082,118074
2083,148789
2084,108370
2085,113685
2086,109878
2087,124465
2088,110309
2089,81349
2090,130330
2091,105924
2092,124438
2093,108807
2094,115170
2095,136113
2096,82136
2097,104128
2098,142894
2099,57976
2100,83651
2101,116710
2102,126868
2103,107093
2104,148376
2105,125900
2106,76881
2107,206292
2108,112382
2109,107420
2110,131395
2111,139917
2112,137404
2113,120637
2114,127863
2115,161586
2116,117472
2117,152607
2118,124034
2119,116129
2120,120163
2121,86542
2122,111282
2123,83842
2124,167709
2125,134020
2126,161623
2127,164089
2128,123080
2129,87408
2130,124073
2131,136475
2132,113201
2133,120703
2134,117490
2135,86957
2136,68065
2137,109886
2138,129486
2139,153382
2140,137639
2141,151083
2142,125841
2143,144081
2144,131153
2145,131919
2146,160094
2147,139743
2148,141342
2149,143188
2150,227439
2151,127302
2152,166293
2153,166323
2154,105259
2155,137604
2156,237626
2157,231607
2158,239258
2159,210105
2160,188048
2161,237121
2162,368250
2163,304160
2164,252223
2165,202861
2166,151895
2167,221369
2168,185784
2169,196682
2170,217372
2171,149374
2172,135055
2173,165229
2174,221180
2175,303290
2176,301801
2177,236436
2178,216940
2179,142827
2180,214545
2181,192601
2182,214611
2183,188935
2184,121634
2185,122299
2186,147466
2187,154454
2188,156685
2189,264039
2190,74624
2191,77957
2192,87366
2193,109909
2194,99908
2195,106703
2196,99006
2197,118908
2198,148081
2199,177004
2200,154491
2201,161684
2202,214728
2203,141284
2204,177176
2205,123044
2206,139284
2207,205988
2208,256745
2209,237828
2210,122473
2211,109519
2212,115356
2213,98888
2214,125747
2215,96174
2216,134468
2217,64041
2218,85225
2219,84442
2220,78587
2221,277712
2222,252619
2223,270028
2224,216683
2225,129768
2226,183443
2227,200144
2228,254002
2229,251386
2230,146524
2231,208811
2232,174397
2233,185208
2234,235291
2235,210946
2236,256587
2237,295319
2238,201115
2239,113639
2240,158073
2241,149319
2242,124975
2243,122973
2244,108390
2245,102288
2246,141707
2247,110637
2248,122444
2249,123443
2250,127792
2251,130324
2252,180989
2253,154534
2254,181547
2255,188890
2256,181219
2257,208204
2258,164298
2259,180007
2260,147612
2261,207540
2262,228110
2263,343860
2264,481893
2265,178054
2266,285116
2267,344859
2268,395701
2269,155537
2270,197671
2271,213607
2272,198239
2273,163230
2274,185645
2275,159246
2276,189235
2277,180646
2278,146837
2279,123061
2280,115184
2281,165483
2282,183079
2283,109165
2284,110715
2285,143719
2286,123584
2287,359859
2288,279917
2289,378689
2290,433759
2291,321432
2292,417045
2293,445551
2294,385238
2295,470534
2296,291631
2297,330055
2298,317070
2299,347858
2300,335467
2301,301050
2302,263149
2303,257881
2304,266535
2305,206313
2306,197897
2307,210259
2308,231857
2309,276395
2310,227531
2311,220727
2312,171835
2313,169125
2314,175572
2315,181942
2316,204631
2317,188810
2318,179006
2319,185643
2320,184644
2321,250172
2322,189586
2323,191547
2324,179937
2325,216770
2326,176416
2327,203418
2328,223427
2329,190945
2330,180882
2331,334979
2332,386040
2333,323309
2334,255692
2335,270096
2336,309950
2337,198462
2338,272554
2339,227705
2340,373662
2341,223239
2342,243972
2343,234323
2344,222949
2345,241063
2346,217542
2347,200065
2348,246966
2349,176038
2350,288807
2351,242383
2352,254020
2353,240267
2354,139587
2355,146990
2356,148183
2357,187589
2358,193239
2359,130078
2360,118544
2361,142673
2362,270058
2363,142009
2364,164959
2365,228760
2366,199564
2367,227798
2368,216603
2369,223322
2370,163990
2371,161971
2372,192151
2373,269884
2374,306254
2375,248448
2376,285679
2377,335701
2378,140367
2379,200235
2380,148049
2381,174489
2382,204712
2383,202094
2384,241540
2385,165010
2386,135063
2387,135212
2388,104116
2389,123762
2390,144053
2391,143706
2392,113370
2393,168471
2394,148252
2395,207996
2396,142162
2397,221262
2398,136615
2399,65848
2400,68898
2401,111221
2402,133738
2403,147165
2404,149867
2405,158320
2406,141943
2407,126647
2408,144585
2409,123153
2410,169228
2411,115810
2412,153460
2413,129648
2414,144274
2415,135154
2416,128889
2417,127071
2418,127690
2419,126745
2420,123163
2421,138456
2422,106332
2423,122146
2424,159416
2425,209993
2426,133480
2427,128492
2428,183090
2429,113343
2430,133935
2431,108539
2432,147862
2433,143192
2434,138763
2435,152799
2436,103783
2437,105891
2438,122711
2439,106003
2440,127042
2441,97419
2442,101291
2443,110330
2444,131161
2445,89541
2446,127474
2447,178524
2448,131257
2449,116147
2450,151820
2451,127997
2452,193101
2453,89263
2454,113461
2455,120904
2456,126230
2457,129671
2458,129432
2459,107830
2460,147189
2461,118555
2462,133601
2463,128143
2464,166744
2465,141757
2466,117183
2467,137119
2468,88483
2469,82160
2470,176922
2471,189610
2472,161215
2473,110899
2474,94947
2475,207504
2476,119122
2477,126387
2478,158203
2479,101186
2480,148266
2481,121145
2482,128329
2483,113705
2484,125823
2485,121756
2486,153684
2487,178040
2488,159392
2489,163021
2490,138694
2491,92336
2492,183832
2493,153596
2494,147085
2495,87428
2496,230787
2497,150342
2498,110571
2499,84202
2500,119760
2501,133789
2502,141158
2503,99845
2504,163147
2505,224023
2506,251731
2507,284371
2508,252679
2509,216600
2510,217832
2511,175465
2512,207185
2513,222777
2514,251390
2515,147036
2516,174105
2517,142453
2518,148841
2519,237357
2520,219754
2521,187384
2522,224254
2523,121958
2524,139868
2525,142973
2526,140200
2527,120322
2528,123449
2529,138737
2530,120083
2531,251435
2532,224041
2533,193676
2534,236337
2535,292568
2536,212496
2537,245721
2538,185213
2539,191576
2540,181066
2541,184099
2542,159092
2543,126241
2544,113901
2545,137223
2546,126289
2547,137088
2548,151406
2549,154249
2550,798300
2551,142676
2552,128099
2553,71101
2554,93387
2555,121380
2556,99736
2557,106069
2558,136816
2559,142457
2560,162483
2561,155113
2562,140922
2563,150315
2564,215490
2565,138337
2566,162997
2567,150678
2568,190451
2569,214398
2570,120206
2571,184267
2572,166239
2573,225789
2574,291152
2575,124471
2576,115607
2577,129161
2578,80411
2579,54064
2580,109878
2581,116481
2582,114596
2583,282511
2584,177158
2585,189365
2586,224660
2587,211190
2588,143869
2589,152107
2590,205657
2591,211235
2592,212723
2593,241901
2594,185011
2595,201411
2596,287226
2597,177661
2598,280671
2599,309271
2600,146757
2601,137972
2602,84323
2603,97381
2604,87945
2605,76010
2606,147112
2607,203656
2608,187089
2609,168134
2610,108724
2611,114630
2612,160715
2613,126315
2614,121619
2615,157146
2616,146916
2617,185988
2618,194266
2619,202302
2620,186154
2621,174279
2622,181763
2623,239200
2624,297406
2625,279338
2626,171683
2627,178394
2628,448793
2629,484957
2630,377283
2631,450581
2632,380996
2633,302087
2634,383504
2635,158865
2636,181040
2637,176027
2638,257657
2639,189403
2640,152035
2641,105552
2642,185336
2643,111577
2644,122221
2645,109061
2646,100032
2647,109883
2648,151406
2649,146488
2650,138221
2651,139468
2652,394085
2653,261930
2654,254304
2655,369068
2656,326533
2657,340872
2658,293567
2659,321066
2660,351976
2661,360764
2662,344997
2663,304575
2664,268884
2665,325843
2666,291469
2667,171133
2668,179367
2669,182009
2670,279221
2671,188907
2672,203975
2673,206904
2674,201546
2675,181353
2676,194436
2677,194528
2678,254677
2679,275035
2680,287915
2681,369282
2682,313142
2683,458372
2684,320117
2685,319761
2686,249226
2687,298607
2688,220325
2689,212037
2690,381468
2691,185577
2692,139798
2693,201011
2694,137248
2695,190892
2696,183675
2697,180872
2698,193839
2699,179214
2700,160796
2701,149640
2702,114203
2703,127859
2704,143833
2705,117387
2706,109427
2707,124781
2708,130660
2709,101409
2710,125956
2711,191081
2712,352268
2713,174196
2714,150012
2715,165497
2716,149721
2717,189249
2718,222474
2719,149480
2720,176293
2721,130082
2722,160572
2723,149590
2724,123707
2725,129937
2726,141495
2727,177981
2728,176754
2729,145103
