Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,BsmtFlag,WoodDeckFlag,PoolFlag,BsmtFinPerc,SalePrice
1,10,3,65.0,8450,1,1,3,3,4,0,5,2,2,0,5,7,5,2003,1,1,12,13,1,196.0,4.0,3.0,2,4.0,3.0,1.0,6.0,1.0,856.0,1,5.0,1,4,0,1710,1.0,0.0,2,1,3,1,4.0,8,7.0,0,0.0,1,2.0,2.0,3.0,2.0,0,61,0,0,0,4,1,0,8,4,1.0,0,0,0.8247663551401869,12.247694320220994
2,5,3,80.0,9600,1,1,3,3,2,0,24,1,2,0,2,6,8,1976,1,1,8,8,2,0.0,3.0,3.0,1,4.0,3.0,4.0,5.0,1.0,1262.0,1,5.0,1,4,0,1262,0.0,1.0,2,0,3,1,3.0,6,7.0,1,3.0,1,2.0,2.0,3.0,2.0,298,0,0,0,0,4,1,0,8,4,1.0,1,0,0.7749603803486529,12.109010932687042
3,10,3,68.0,11250,1,1,0,3,4,0,5,2,2,0,5,7,5,2002,1,1,12,13,1,162.0,4.0,3.0,2,4.0,3.0,2.0,6.0,1.0,920.0,1,5.0,1,4,0,1786,1.0,0.0,2,1,3,1,4.0,6,7.0,1,3.0,1,2.0,2.0,3.0,2.0,0,42,0,0,0,4,1,0,8,4,1.0,0,0,0.5282608695652173,12.31716669303576
4,11,3,60.0,9550,1,1,0,3,0,0,6,2,2,0,5,7,5,1970,1,1,13,15,2,0.0,3.0,3.0,0,3.0,4.0,1.0,5.0,1.0,756.0,1,4.0,1,4,0,1717,1.0,0.0,1,0,3,1,4.0,7,7.0,1,4.0,5,1.0,3.0,3.0,2.0,0,35,272,0,0,4,1,0,8,0,1.0,0,0,0.2857142857142857,11.84939770159144
5,10,3,84.0,14260,1,1,0,3,2,0,15,2,2,0,5,8,5,2000,1,1,12,13,1,350.0,4.0,3.0,2,4.0,3.0,3.0,6.0,1.0,1145.0,1,5.0,1,4,0,2198,1.0,0.0,2,1,4,1,4.0,9,7.0,1,3.0,1,2.0,3.0,3.0,2.0,192,84,0,0,0,4,1,0,8,4,1.0,1,0,0.5720524017467249,12.429216196844383
6,9,3,85.0,14115,1,1,0,3,4,0,11,2,2,0,0,5,5,1995,1,1,12,13,2,0.0,3.0,3.0,5,4.0,3.0,1.0,6.0,1.0,796.0,1,5.0,1,4,0,1362,1.0,0.0,1,1,1,1,3.0,5,7.0,0,0.0,1,1.0,2.0,3.0,2.0,40,30,0,320,0,2,3,700,8,4,1.0,1,0,0.9195979899497487,11.865692784077943
7,5,3,75.0,10084,1,1,3,3,4,0,21,2,2,0,2,8,5,2005,1,1,12,13,3,186.0,4.0,3.0,2,5.0,3.0,3.0,6.0,1.0,1686.0,1,5.0,1,4,0,1694,1.0,0.0,2,0,3,1,4.0,7,7.0,1,4.0,1,2.0,2.0,3.0,2.0,255,57,0,0,0,4,1,0,8,4,1.0,1,0,0.8119810201660735,12.634603026569334
8,10,3,74.0,10382,1,1,0,3,0,0,14,4,2,0,5,7,6,1973,1,1,6,6,3,240.0,3.0,3.0,1,4.0,3.0,2.0,5.0,4.0,1107.0,1,5.0,1,4,0,2090,1.0,0.0,2,1,3,1,3.0,7,7.0,2,3.0,1,2.0,2.0,3.0,2.0,235,204,228,0,0,4,3,350,8,4,1.0,1,0,0.8048780487804879,12.204321112491368
9,9,4,51.0,6120,1,1,3,3,4,0,17,0,2,0,0,7,5,1950,1,1,3,15,2,0.0,3.0,3.0,0,3.0,3.0,1.0,1.0,1.0,952.0,1,4.0,1,1,0,1774,0.0,0.0,2,0,2,2,3.0,8,6.0,2,3.0,5,1.0,2.0,2.0,2.0,90,0,205,0,0,4,1,0,8,0,1.0,1,0,0.0,11.77452020265869
10,4,3,50.0,7420,1,1,3,3,0,0,3,0,0,1,1,5,6,1950,1,1,8,8,2,0.0,3.0,3.0,0,3.0,3.0,1.0,6.0,1.0,991.0,1,5.0,1,4,0,1077,1.0,0.0,1,0,2,2,3.0,5,7.0,2,3.0,1,2.0,1.0,4.0,2.0,0,4,0,0,0,4,1,0,8,4,1.0,0,0,0.858728557013118,11.678439903447801
11,5,3,70.0,11200,1,1,3,3,4,0,19,2,2,0,2,5,5,1965,3,1,6,6,2,0.0,3.0,3.0,1,3.0,3.0,1.0,3.0,1.0,1040.0,1,5.0,1,4,0,1040,1.0,0.0,1,0,3,1,3.0,5,7.0,0,0.0,5,1.0,1.0,3.0,2.0,0,0,0,0,0,4,1,0,8,4,1.0,0,0,0.8711538461538462,11.771436160121729
12,10,3,85.0,11924,1,1,0,3,4,0,16,2,2,0,5,9,5,2006,3,1,14,15,3,286.0,5.0,3.0,2,5.0,3.0,1.0,6.0,1.0,1175.0,1,5.0,1,4,0,2324,1.0,0.0,3,0,4,1,5.0,11,7.0,2,4.0,3,3.0,3.0,3.0,2.0,147,21,0,0,0,4,1,0,6,5,1.0,1,0,0.8493617021276596,12.751299696013497
13,5,3,74.0,12968,1,1,1,3,4,0,19,2,2,0,2,5,6,1962,3,1,6,10,2,0.0,3.0,3.0,1,3.0,3.0,1.0,5.0,1.0,912.0,1,3.0,1,4,0,912,1.0,0.0,1,0,2,1,3.0,4,7.0,0,0.0,5,1.0,1.0,3.0,2.0,140,0,0,0,176,4,1,0,8,4,1.0,1,0,0.8081140350877193,11.877568578558138
14,5,3,91.0,10652,1,1,0,3,4,0,5,2,2,0,2,7,5,2007,1,1,12,13,3,306.0,4.0,3.0,2,4.0,3.0,3.0,1.0,1.0,1494.0,1,5.0,1,4,0,1494,0.0,0.0,2,0,3,1,4.0,7,7.0,1,4.0,1,2.0,3.0,3.0,2.0,160,33,0,0,0,4,1,0,6,5,1.0,1,0,0.0,12.540757571577291
15,5,3,74.0,10920,1,1,0,3,0,0,12,2,2,0,2,6,5,1960,3,1,8,8,1,212.0,3.0,3.0,1,3.0,3.0,1.0,4.0,1.0,1253.0,1,3.0,1,4,0,1253,1.0,0.0,1,1,2,1,3.0,5,7.0,1,2.0,1,2.0,1.0,3.0,2.0,0,213,176,0,0,1,1,0,8,4,1.0,0,0,0.5849960095770151,11.964001084330445
16,8,4,51.0,6120,1,1,3,3,0,0,3,2,2,0,1,7,8,2001,1,1,13,14,2,0.0,3.0,3.0,0,3.0,3.0,1.0,1.0,1.0,832.0,1,5.0,1,0,0,854,0.0,0.0,1,0,2,1,3.0,5,7.0,0,0.0,5,1.0,2.0,3.0,2.0,48,112,0,0,0,0,1,0,8,4,1.0,1,0,0.0,11.790557201568507
17,5,3,74.0,11241,1,1,0,3,1,0,12,2,2,0,2,6,7,1970,1,1,13,14,1,180.0,3.0,3.0,1,3.0,3.0,1.0,5.0,1.0,1004.0,1,5.0,1,4,0,1004,1.0,0.0,1,0,2,1,3.0,5,7.0,1,3.0,1,3.0,2.0,3.0,2.0,0,0,0,0,0,4,3,700,8,4,1.0,0,0,0.5756972111553785,11.906992528126024
18,15,3,72.0,10791,1,1,3,3,4,0,19,2,2,2,2,4,5,1967,1,1,8,8,2,0.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1,4,0,1296,0.0,0.0,2,0,2,2,3.0,6,7.0,0,0.0,4,1.0,2.0,3.0,2.0,0,0,0,0,0,4,3,500,8,4,0.0,0,0,0.0,11.401993904262946
19,5,3,66.0,13695,1,1,3,3,4,0,20,5,2,0,2,5,5,2004,1,1,12,13,2,0.0,3.0,3.0,2,3.0,3.0,1.0,6.0,1.0,1114.0,1,5.0,1,4,0,1114,1.0,0.0,1,1,3,1,4.0,6,7.0,0,0.0,5,1.0,2.0,3.0,2.0,0,102,0,0,0,4,1,0,8,4,1.0,0,0,0.5798922800718133,11.976659481202368
