Id,SalePrice
1461,119367
1462,166164
1463,184121
1464,198278
1465,203129
1466,168930
1467,177627
1468,159914
1469,194823
1470,116926
1471,179958
1472,96332
1473,95474
1474,149781
1475,112983
1476,355033
1477,264685
1478,299956
1479,298532
1480,474529
1481,336515
1482,218590
1483,177782
1484,162784
1485,190922
1486,190975
1487,325114
1488,225377
1489,195995
1490,245195
1491,200842
1492,99459
1493,172952
1494,293904
1495,292828
1496,233632
1497,178549
1498,193098
1499,160537
1500,158911
1501,176389
1502,136866
1503,295681
1504,240318
1505,226950
1506,187798
1507,245440
1508,198809
1509,156878
1510,147920
1511,173520
1512,172889
1513,143860
1514,163982
1515,187153
1516,154542
1517,173580
1518,125689
1519,207492
1520,127799
1521,132145
1522,180019
1523,111183
1524,121751
1525,119858
1526,112478
1527,104431
1528,131090
1529,162501
1530,197809
1531,113172
1532,93110
1533,158758
1534,101408
1535,147215
1536,107591
1537,62452
1538,156407
1539,198769
1540,91385
1541,144343
1542,152193
1543,188606
1544,84240
1545,119347
1546,141575
1547,144283
1548,139139
1549,126814
1550,139681
1551,103280
1552,145674
1553,154811
1554,114747
1555,170677
1556,89221
1557,115143
1558,100018
1559,56861
1560,134907
1561,127010
1562,133477
1563,120384
1564,157375
1565,147831
1566,241181
1567,72549
1568,256104
1569,136303
1570,135535
1571,115300
1572,144866
1573,231368
1574,129874
1575,236820
1576,239028
1577,178599
1578,148444
1579,147779
1580,193019
1581,160042
1582,124671
1583,295767
1584,218364
1585,138284
1586,74475
1587,104531
1588,148368
1589,98341
1590,128565
1591,95214
1592,113838
1593,123096
1594,120972
1595,114386
1596,217318
1597,208585
1598,231224
1599,177742
1600,171816
1601,65844
1602,114408
1603,64964
1604,261163
1605,238506
1606,166937
1607,173019
1608,214077
1609,183610
1610,146555
1611,140624
1612,175010
1613,164408
1614,120933
1615,87011
1616,76178
1617,87040
1618,136149
1619,139494
1620,172659
1621,129583
1622,141986
1623,260210
1624,215615
1625,114889
1626,165364
1627,195379
1628,276876
1629,177745
1630,362293
1631,244926
1632,256819
1633,171871
1634,184616
1635,177951
1636,152899
1637,207319
1638,181871
1639,186632
1640,242283
1641,182695
1642,243986
1643,226459
1644,235187
1645,210620
1646,155513
1647,146352
1648,127863
1649,138559
1650,109607
1651,113516
1652,97765
1653,102159
1654,148935
1655,142661
1656,147273
1657,153627
1658,150690
1659,120097
1660,154353
1661,442991
1662,381165
1663,365545
1664,590942
1665,301879
1666,301925
1667,386683
1668,325718
1669,312442
1670,335225
1671,276896
1672,407673
1673,306432
1674,248208
1675,212850
1676,207210
1677,232013
1678,461959
1679,390084
1680,311337
1681,239471
1682,332127
1683,195393
1684,176860
1685,169735
1686,168776
1687,165973
1688,186632
1689,191315
1690,198171
1691,183611
1692,258232
1693,175618
1694,181273
1695,162196
1696,289264
1697,163563
1698,355593
1699,316935
1700,266017
1701,273605
1702,243604
1703,246993
1704,276239
1705,238916
1706,210328
1707,212475
1708,203286
1709,266067
1710,221844
1711,282597
1712,262006
1713,270647
1714,210863
1715,208132
1716,183587
1717,175341
1718,141117
1719,211026
1720,232767
1721,153559
1722,124283
1723,150638
1724,205037
1725,238379
1726,190604
1727,163542
1728,166009
1729,170261
1730,140572
1731,126028
1732,124756
1733,108142
1734,125948
1735,115758
1736,110827
1737,284178
1738,260377
1739,232947
1740,224383
1741,196682
1742,172939
1743,178234
1744,316081
1745,226889
1746,170628
1747,220322
1748,216172
1749,148093
1750,123618
1751,250092
1752,111872
1753,151750
1754,189481
1755,168189
1756,127414
1757,120080
1758,145465
1759,166520
1760,167903
1761,152016
1762,175127
1763,189182
1764,112726
1765,134032
1766,193146
1767,223794
1768,139807
1769,169191
1770,154072
1771,118655
1772,139121
1773,124481
1774,152401
1775,142652
1776,134633
1777,104922
1778,143604
1779,137252
1780,175219
1781,124512
1782,86089
1783,142811
1784,105960
1785,118351
1786,145038
1787,164272
1788,57077
1789,94306
1790,87363
1791,185048
1792,152236
1793,128750
1794,161935
1795,139977
1796,113788
1797,108760
1798,117480
1799,111526
1800,133126
1801,124514
1802,128489
1803,145714
1804,139250
1805,133760
1806,123824
1807,143682
1808,122057
1809,130983
1810,137260
1811,82736
1812,96919
1813,122158
1814,100990
1815,57193
1816,96208
1817,110623
1818,150546
1819,117393
1820,46315
1821,107717
1822,161757
1823,39540
1824,126258
1825,130221
1826,108894
1827,105545
1828,135243
1829,129124
1830,154123
1831,134785
1832,71975
1833,141856
1834,120433
1835,139831
1836,127852
1837,99820
1838,131640
1839,93735
1840,146203
1841,132620
1842,88282
1843,128807
1844,138233
1845,144308
1846,161281
1847,176900
1848,55037
1849,108764
1850,118365
1851,156461
1852,130646
1853,121699
1854,159801
1855,156880
1856,233112
1857,139099
1858,124659
1859,114844
1860,148907
1861,115944
1862,319117
1863,292699
1864,292815
1865,325577
1866,300057
1867,217344
1868,278933
1869,200000
1870,222330
1871,246522
1872,172340
1873,255812
1874,144306
1875,201149
1876,200181
1877,207725
1878,199199
1879,128756
1880,127484
1881,247041
1882,240206
1883,185082
1884,203881
1885,213717
1886,271628
1887,216947
1888,266118
1889,170993
1890,107974
1891,121660
1892,100901
1893,138068
1894,127571
1895,139452
1896,122398
1897,133108
1898,108619
1899,164090
1900,143543
1901,182191
1902,165119
1903,239630
1904,135635
1905,212798
1906,115789
1907,234895
1908,107483
1909,137652
1910,121612
1911,234101
1912,323145
1913,143717
1914,46695
1915,299291
1916,80566
1917,245608
1918,138807
1919,180566
1920,157330
1921,347829
1922,298690
1923,252889
1924,238560
1925,195982
1926,349910
1927,131315
1928,164859
1929,124551
1930,125393
1931,131528
1932,133989
1933,177567
1934,178905
1935,174619
1936,192432
1937,185889
1938,171783
1939,264632
1940,199851
1941,165766
1942,171043
1943,227583
1944,371081
1945,391061
1946,139905
1947,168725
1948,179637
1949,241751
1950,183262
1951,241431
1952,213431
1953,175154
1954,173049
1955,137653
1956,280318
1957,148387
1958,246375
1959,146722
1960,105124
1961,119181
1962,96391
1963,107034
1964,107365
1965,149202
1966,141779
1967,307677
1968,417730
1969,366223
1970,391616
1971,461937
1972,378293
1973,287857
1974,334176
1975,619455
1976,287586
1977,362943
1978,353983
1979,318830
1980,228143
1981,326628
1982,227777
1983,211775
1984,169734
1985,226563
1986,211476
1987,181406
1988,173320
1989,189461
1990,203231
1991,243161
1992,211091
1993,166493
1994,221787
1995,180320
1996,254098
1997,299496
1998,314666
1999,291267
2000,325336
2001,284212
2002,237848
2003,254300
2004,291522
2005,218924
2006,220922
2007,256288
2008,235832
2009,199243
2010,196434
2011,136892
2012,174835
2013,179174
2014,185532
2015,224930
2016,192574
2017,195980
2018,111509
2019,130556
2020,93639
2021,99738
2022,203575
2023,138329
2024,280705
2025,343060
2026,180415
2027,163701
2028,150266
2029,172469
2030,256743
2031,229932
2032,237423
2033,240807
2034,168726
2035,225586
2036,202957
2037,236005
2038,307775
2039,228513
2040,281909
2041,293101
2042,206056
2043,179940
2044,155118
2045,210554
2046,168874
2047,142058
2048,137170
2049,141749
2050,170611
2051,100957
2052,121379
2053,148338
2054,95991
2055,164210
2056,149475
2057,108989
2058,216200
2059,132790
2060,177212
2061,170739
2062,129829
2063,123493
2064,143024
2065,120233
2066,171350
2067,109624
2068,148689
2069,83638
2070,110642
2071,85479
2072,125065
2073,128919
2074,181576
2075,137102
2076,112452
2077,170706
2078,125515
2079,124792
2080,115871
2081,121624
2082,122263
2083,147096
2084,107418
2085,116893
2086,96224
2087,116864
2088,94248
2089,76894
2090,123742
2091,117326
2092,123569
2093,115497
2094,109883
2095,149869
2096,83160
2097,97243
2098,152547
2099,51377
2100,72054
2101,111441
2102,107313
2103,105310
2104,128424
2105,130086
2106,70565
2107,202558
2108,114850
2109,113490
2110,122967
2111,123277
2112,136695
2113,123475
2114,127129
2115,166629
2116,121078
2117,143434
2118,125021
2119,120802
2120,106623
2121,88458
2122,123832
2123,82141
2124,154940
2125,118515
2126,162589
2127,175119
2128,122612
2129,82990
2130,137322
2131,142005
2132,122538
2133,128367
2134,120780
2135,91012
2136,78898
2137,108251
2138,141748
2139,148685
2140,145029
2141,151035
2142,128664
2143,148253
2144,125529
2145,140545
2146,172481
2147,134842
2148,127262
2149,140614
2150,233405
2151,111285
2152,168394
2153,164228
2154,101295
2155,135117
2156,251692
2157,233970
2158,245150
2159,220141
2160,180026
2161,232235
2162,355906
2163,346150
2164,253308
2165,208422
2166,154934
2167,215644
2168,206669
2169,195836
2170,221368
2171,157117
2172,132461
2173,174915
2174,222291
2175,286792
2176,304441
2177,236483
2178,211113
2179,134008
2180,209270
2181,196811
2182,226001
2183,190456
2184,116220
2185,119998
2186,141747
2187,147831
2188,149098
2189,259021
2190,87362
2191,77667
2192,85873
2193,105338
2194,105962
2195,109095
2196,103982
2197,116781
2198,160028
2199,209790
2200,143124
2201,150801
2202,212131
2203,135674
2204,185057
2205,118944
2206,143452
2207,219351
2208,278215
2209,269479
2210,122288
2211,111631
2212,118150
2213,112950
2214,131691
2215,98790
2216,150856
2217,72418
2218,58271
2219,50241
2220,57880
2221,299317
2222,273930
2223,287784
2224,209535
2225,121220
2226,182301
2227,197057
2228,265017
2229,257589
2230,148987
2231,220959
2232,179931
2233,191852
2234,240841
2235,216527
2236,251296
2237,298687
2238,203028
2239,92694
2240,149277
2241,171072
2242,121176
2243,117612
2244,110192
2245,103174
2246,141879
2247,108877
2248,114134
2249,115221
2250,124763
2251,118945
2252,181615
2253,152990
2254,179564
2255,184620
2256,173250
2257,201047
2258,159883
2259,172203
2260,147825
2261,203342
2262,225479
2263,388880
2264,533783
2265,158848
2266,297618
2267,372600
2268,520840
2269,144009
2270,196532
2271,215952
2272,187823
2273,158664
2274,183539
2275,157302
2276,198349
2277,182378
2278,143639
2279,118859
2280,107258
2281,161111
2282,186148
2283,107399
2284,111698
2285,144541
2286,120989
2287,361711
2288,295046
2289,378194
2290,439291
2291,338777
2292,435607
2293,454600
2294,387591
2295,494971
2296,292116
2297,353014
2298,351197
2299,346354
2300,338299
2301,330309
2302,257446
2303,250088
2304,264567
2305,211594
2306,203060
2307,215050
2308,241021
2309,272698
2310,222661
2311,203002
2312,172769
2313,169924
2314,176516
2315,176115
2316,198897
2317,200216
2318,182739
2319,184302
2320,182784
