Id,SalePrice
1461,119526
1462,166609
1463,183568
1464,200692
1465,202038
1466,169722
1467,172412
1468,167221
1469,188989
1470,122159
1471,178656
1472,97814
1473,96980
1474,143167
1475,110495
1476,340134
1477,251724
1478,301447
1479,301242
1480,465771
1481,343679
1482,225761
1483,179231
1484,169659
1485,197932
1486,197612
1487,334796
1488,229109
1489,194036
1490,242957
1491,195995
1492,90622
1493,192846
1494,296410
1495,292112
1496,231088
1497,170589
1498,175782
1499,161867
1500,161599
1501,177397
1502,153467
1503,254877
1504,244522
1505,232594
1506,196261
1507,234877
1508,197224
1509,158515
1510,151316
1511,154869
1512,173441
1513,142385
1514,160820
1515,186309
1516,155442
1517,170186
1518,131924
1519,204312
1520,133345
1521,137488
1522,178291
1523,111671
1524,121802
1525,118691
1526,116338
1527,107920
1528,130473
1529,151071
1530,190477
1531,125553
1532,96216
1533,143039
1534,118173
1535,150205
1536,114671
1537,72594
1538,159941
1539,185291
1540,85752
1541,141221
1542,127973
1543,177940
1544,84064
1545,116933
1546,139125
1547,132157
1548,127444
1549,118107
1550,144412
1551,107984
1552,133000
1553,142606
1554,118866
1555,172557
1556,88607
1557,103314
1558,105385
1559,105039
1560,144919
1561,110960
1562,133638
1563,124203
1564,162726
1565,154121
1566,227394
1567,79334
1568,249677
1569,138338
1570,145654
1571,118976
1572,140042
1573,233568
1574,116620
1575,236258
1576,256512
1577,182873
1578,150686
1579,151922
1580,194088
1581,162012
1582,126161
1583,295883
1584,215767
1585,142896
1586,69710
1587,114735
1588,147788
1589,104367
1590,130109
1591,99124
1592,121938
1593,122897
1594,116965
1595,118624
1596,217426
1597,195534
1598,214894
1599,174533
1600,172950
1601,66778
1602,114958
1603,79445
1604,273904
1605,238102
1606,165190
1607,179066
1608,232607
1609,182445
1610,159346
1611,145933
1612,167692
1613,167135
1614,124751
1615,89723
1616,76929
1617,90596
1618,130328
1619,139770
1620,154261
1621,131283
1622,143123
1623,259941
1624,216438
1625,115302
1626,179208
1627,193053
1628,277445
1629,183636
1630,328974
1631,235032
1632,248012
1633,178676
1634,189507
1635,178000
1636,155002
1637,190958
1638,191540
1639,188023
1640,242036
1641,183935
1642,245551
1643,226417
1644,238210
1645,202988
1646,161063
1647,160782
1648,131169
1649,143671
1650,115893
1651,120587
1652,99249
1653,101408
1654,141966
1655,134785
1656,142949
1657,145582
1658,150202
1659,115213
1660,162494
1661,431423
1662,351896
1663,347862
1664,519472
1665,284332
1666,319312
1667,338298
1668,319317
1669,296011
1670,323512
1671,278427
1672,392784
1673,303815
1674,245856
1675,211536
1676,207166
1677,233835
1678,433285
1679,384876
1680,302562
1681,234290
1682,327816
1683,196811
1684,182948
1685,180613
1686,178385
1687,172657
1688,196240
1689,194633
1690,205803
1691,197173
1692,253451
1693,175841
1694,185791
1695,162996
1696,281131
1697,166954
1698,341800
1699,321292
1700,256052
1701,268606
1702,233622
1703,244582
1704,269489
1705,248211
1706,241909
1707,206323
1708,206234
1709,260036
1710,227394
1711,280560
1712,255664
1713,266387
1714,226058
1715,208824
1716,176646
1717,180528
1718,134749
1719,213405
1720,220600
1721,155991
1722,121683
1723,152444
1724,196664
1725,235792
1726,186678
1727,153332
1728,169943
1729,168986
1730,147776
1731,121852
1732,126167
1733,114448
1734,125575
1735,119954
1736,106382
1737,279942
1738,254989
1739,227840
1740,224278
1741,199651
1742,169089
1743,177853
1744,304066
1745,215524
1746,181443
1747,218864
1748,218017
1749,146081
1750,124054
1751,249083
1752,116932
1753,153047
1754,198608
1755,175809
1756,125999
1757,121124
1758,148632
1759,166110
1760,166833
1761,156879
1762,170092
1763,193926
1764,118471
1765,138523
1766,191087
1767,204409
1768,142203
1769,166718
1770,156563
1771,122007
1772,134100
1773,128607
1774,149861
1775,144349
1776,126121
1777,104635
1778,142555
1779,126025
1780,169364
1781,125117
1782,91041
1783,144530
1784,121866
1785,114659
1786,140633
1787,169029
1788,65435
1789,95148
1790,93248
1791,185390
1792,152283
1793,125581
1794,155528
1795,136196
1796,131448
1797,111738
1798,123417
1799,111826
1800,134562
1801,131139
1802,137988
1803,148987
1804,141437
1805,135830
1806,118844
1807,128779
1808,121157
1809,124668
1810,140053
1811,84336
1812,96642
1813,119078
1814,99061
1815,58142
1816,94113
1817,118127
1818,150794
1819,130582
1820,71471
1821,105078
1822,152497
1823,57729
1824,123232
1825,145868
1826,115257
1827,105651
1828,130139
1829,114723
1830,141117
1831,144138
1832,81822
1833,134709
1834,125437
1835,107348
1836,107773
1837,89163
1838,122896
1839,102360
1840,145350
1841,141396
1842,95943
1843,135539
1844,148813
1845,147477
1846,157613
1847,179311
1848,64992
1849,105911
1850,119300
1851,150631
1852,129067
1853,130697
1854,160535
1855,155879
1856,231251
1857,144035
1858,125898
1859,121183
1860,150411
1861,120550
1862,304486
1863,281203
1864,281262
1865,309169
1866,294261
1867,216989
1868,276080
1869,203983
1870,217405
1871,254336
1872,184732
1873,256539
1874,145945
1875,196823
1876,203500
1877,206534
1878,204568
1879,139636
1880,125824
1881,234794
1882,240903
1883,179165
1884,196110
1885,219803
1886,276099
1887,220220
1888,257330
1889,182218
1890,124139
1891,127779
1892,103309
1893,130828
1894,129393
1895,139062
1896,125135
1897,126840
1898,116835
1899,153947
1900,148902
1901,165702
1902,152931
1903,213434
1904,138898
1905,201142
1906,119903
1907,205381
1908,107992
1909,129410
1910,118441
1911,214548
1912,316130
1913,136945
1914,72084
1915,292350
1916,58254
1917,239278
1918,140350
1919,174370
1920,153011
1921,347834
1922,292543
1923,237372
1924,247666
1925,201570
1926,344738
1927,133161
1928,167889
1929,120550
1930,131533
1931,143362
1932,136812
1933,184816
1934,179607
1935,173983
1936,197944
1937,186432
1938,173880
1939,249126
1940,196368
1941,165637
1942,170829
1943,232495
1944,379335
1945,373917
1946,146623
1947,195791
1948,166559
1949,233404
1950,184037
1951,243548
1952,207533
1953,174402
1954,180431
1955,134978
1956,285088
1957,151268
1958,262984
1959,146376
1960,114161
1961,124645
1962,97338
1963,102497
1964,106560
1965,142924
1966,133755
1967,293438
1968,398112
1969,360497
1970,399150
1971,464835
1972,366821
1973,297558
1974,331126
1975,432815
1976,281266
1977,342529
1978,358147
1979,305477
1980,208945
1981,308682
1982,231289
1983,217303
1984,173220
1985,231462
1986,214451
1987,191355
1988,182815
1989,197617
1990,212915
1991,239357
1992,216500
1993,175308
1994,225899
1995,186610
1996,254871
1997,310128
1998,300850
1999,292852
2000,310467
2001,290629
2002,244423
2003,264111
2004,286972
2005,224528
2006,224786
2007,254102
2008,230955
2009,202052
2010,193879
2011,138800
2012,175150
2013,182860
2014,186682
2015,214602
2016,192040
2017,196574
2018,122712
2019,129303
2020,97594
2021,109896
2022,192510
2023,135785
2024,286976
2025,349165
2026,182227
2027,165330
2028,150102
2029,164451
2030,256564
2031,227782
2032,233126
2033,240727
2034,170113
2035,223796
2036,196237
2037,206754
2038,287737
2039,238660
2040,269712
2041,275082
2042,211106
2043,177620
2044,164471
2045,203833
2046,153118
2047,138136
2048,143785
2049,146722
2050,165246
2051,104673
2052,129683
2053,147650
2054,92152
2055,148148
2056,150977
2057,121848
2058,218155
2059,141854
2060,170257
2061,162233
2062,127693
2063,123251
2064,141452
2065,122727
2066,170361
2067,103073
2068,148524
2069,80704
2070,109773
2071,97970
2072,132498
2073,129412
2074,167583
2075,146025
2076,119070
2077,157271
2078,124672
2079,128850
2080,111453
2081,122977
2082,121053
2083,144294
2084,109380
2085,120465
2086,113775
2087,125476
2088,102610
2089,81465
2090,127623
2091,109736
2092,127131
2093,106176
2094,104997
2095,147261
2096,85401
2097,104919
2098,140869
2099,62487
2100,86730
2101,110526
2102,130545
2103,111466
