SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,Id
116258.0733,114806.7867,119039.735,114905,116513.8072,122717.4715,117373.479,1461
159688.2637,168179.8866,163308.0794,167796,155780.3958,172863.9089,164602.7557,1462
177599.8702,179321.8031,178934.3379,179199,176361.3448,187657.4531,179845.6349,1463
196516.5207,191462.6326,199670.5547,191014,193595.7297,192360.7178,194103.3592,1464
207841.2969,214072.9335,202081.3989,214275,207237.4852,187424.6251,205488.7899,1465
169144.2431,171123.6046,165328.8652,171263,170068.2683,169750.6946,169446.446,1466
180276.5459,180253.9959,177780.1514,180938,184880.2902,172883.1333,179502.0194,1467
162147.3895,162744.8153,162536.6576,162284,159932.3121,166732.1709,162729.5576,1468
198736.0707,206890.7944,192491.7777,207652,204866.1949,171972.1003,197101.4897,1469
120085.6117,117350.4408,121556.8755,117477,118856.3458,123434.7857,119793.5099,1470
182790.1947,193189.4691,181579.2638,192043,192018.979,199327.5456,190158.0754,1471
98616.50985,100169.8819,97777.43234,100112,98224.8157,98246.29053,98857.82172,1472
94772.22451,96799.57781,94055.77328,96529,93968.74497,96832.48197,95492.96709,1473
143623.982,143752.0606,144920.8383,143210,147430.3711,150850.034,145631.2143,1474
109950.6962,111086.7138,109339.5142,110930,113597.8333,117834.5099,112123.2112,1475
342648.7103,340649.9044,346726.7635,340992,339058.6609,375235.719,347551.9597,1476
249893.7635,263153.4305,248410.3566,264634,252569.6575,260493.0869,256525.7158,1477
303172.9552,291674.7772,306791.0744,293775,295284.5577,295076.3432,297629.1179,1478
294962.173,290154.1077,292453.5588,290232,287503.9947,284133.0581,289906.482,1479
466899.5882,434927.2547,472582.0028,431981,423106.1625,507082.3867,456096.3991,1480
330155.9718,345120.6041,340737.4821,346493,324175.6451,335047.7172,336955.07,1481
222126.1893,231404.8177,218623.661,230543,226651.9704,203840.9562,222198.4324,1482
178902.5608,179349.194,177826.4108,178850,180205.924,175635.2398,178461.5549,1483
163847.6434,166021.9466,164894.0796,164487,167236.7824,164244.1742,165121.9377,1484
202895.0203,201976.703,206099.5503,201634,198796.3892,175221.0878,197770.4584,1485
196377.8852,198097.9755,195553.1373,197886,196321.9289,195240.2403,196579.5279,1486
331653.5188,319257.2872,339249.6483,319648,315532.0123,368258.8895,332266.5593,1487
241724.0285,243789.5712,245821.6835,245970,245463.2442,221332.7093,240683.5394,1488
190961.8091,195720.7732,189366.5045,196629,192241.3018,208109.2366,195504.7709,1489
245865.4119,222919.5623,249200.4237,222466,232296.3824,217939.9079,231781.2814,1490
195965.3991,194577.0431,196879.9908,194567,196304.5617,191255.8369,194924.9719,1491
87098.21786,89053.28782,86966.73646,89561,84967.4487,97170.47389,89136.19412,1492
193427.7777,198759.4363,190389.8207,198759,196735.0141,176914.283,192497.5553,1493
301961.9566,301135.5578,301684.5154,302119,303702.349,293231.7522,300639.1885,1494
294424.0713,301924.7134,295520.5818,303364,288992.633,272888.4423,292852.407,1495
240085.5186,227311.7729,238700.4623,226325,232822.8639,242157.2532,234567.1451,1496
173775.2136,176974.9261,170452.293,178350,179993.7597,176894.779,176073.4952,1497
167731.613,165480.8666,175546.374,165168,166194.6445,167469.2844,167931.7971,1498
162695.7737,164253.3571,164318.3132,164251,164868.8905,157621.7327,163001.5112,1499
159135.4437,156018.538,158944.7981,155971,157393.0672,159252.8118,157785.9431,1500
176118.3651,173132.2712,173250.9124,173147,174238.6485,172877.0712,173794.0447,1501
148660.0023,151932.2676,147594.1068,151089,150889.0698,150598.0135,150127.0767,1502
279959.3949,270055.6705,285062.799,271262,281981.4975,294071.8655,280398.8712,1503
249034.4809,247879.623,247756.6724,248824,249713.7512,241034.5345,247373.8437,1504
232880.7162,228561.5437,232158.7485,228486,229059.4533,233214.132,230726.7656,1505
192053.6479,194623.352,190024.3098,194434,188773.9408,181116.8812,190171.022,1506
235278.5789,236419.6687,231526.1064,236021,245942.3822,242331.4017,237919.8563,1507
200119.5945,202492.5035,202276.7969,202580,202272.8117,196575.0416,201052.7914,1508
162127.3791,161534.3435,161801.7231,162034,163465.9866,160689.9283,161942.2268,1509
145642.0361,147394.5389,146725.011,147049,146250.7228,150678.7211,147290.005,1510
145907.7328,148858.628,150284.8796,149240,146030.8959,150101.7781,148403.9857,1511
174807.5752,172061.3633,173780.4677,172232,171652.9264,173480.8557,173002.5314,1512
146503.0296,151091.162,148616.4367,151900,146749.569,141199.3231,147676.5867,1513
149333.8874,153515.4813,152877.3937,152908,149780.6071,151856.0866,151711.9093,1514
186391.8684,195069.652,185938.659,195939,189096.0113,191066.7868,190583.6629,1515
152341.731,158054.7844,152330.7377,158791,153796.5907,161483.3497,156133.0323,1516
164571.6816,170597.4854,162515.8662,170356,169347.6014,163420.1284,166801.4605,1517
128968.3387,131582.1186,129555.9504,130739,127345.6987,127552.9357,129290.6737,1518
206619.6113,212338.731,206133.0714,212135,213365.1085,233703.0587,214049.0968,1519
127992.2541,128794.5684,127941.7884,129208,128021.4992,140931.2625,130481.5621,1520
131465.3344,133814.6547,131442.692,134234,133790.7044,140499.9276,134207.8855,1521
179350.4235,181587.7905,178451.4805,181983,182936.1181,164627.9517,178156.1274,1522
107870.4043,108746.5788,106395.7525,109317,103839.1989,115126.479,108549.2356,1523
129579.7118,126384.7102,127891.8476,127599,130130.1471,117163.7193,126458.1893,1524
117350.8123,117532.4436,118935.6164,117674,119218.5949,121499.0706,118701.7563,1525
113934.4302,118997.3825,111613.8447,118481,116135.1998,121043.3203,116700.8629,1526
108982.468,109872.8294,104959.496,111064,107989.0137,99884.58448,107125.3986,1527
136037.1104,137695.7885,135312.619,138890,134955.9722,135465.084,136392.7624,1528
152265.9645,147473.837,153303.2704,147726,148117.4704,154780.6527,150611.1992,1529
185404.0743,182193.4162,190651.2738,182585,184319.2778,164125.2751,181546.3862,1530
110349.9139,114574.289,109210.4933,113222,111120.9827,102238.9019,110119.4301,1531
95355.77101,96677.5305,96141.79365,96378,94886.66676,93522.77272,95493.75577,1532
145102.1026,141481.5252,143726.4078,141405,140655.7365,138230.4552,141766.8712,1533
124237.5456,126225.4374,124370.3166,126397,125304.4779,116586.4403,123853.5363,1534
146839.4073,148012.972,146770.4887,147322,147816.8253,151744.2465,148084.3233,1535
107425.5298,112988.9951,109750.6641,112377,106876.7352,116227.9135,110941.1396,1536
68710.01862,71512.82089,65755.09666,70441,70321.68714,75165.80881,70317.73869,1537
150471.4777,155905.3281,153901.8946,155850,144743.1191,174660.7317,155922.0919,1538
203417.1782,207328.0491,195232.2428,210128,212133.9439,197496.8155,204289.3716,1539
94500.60372,89278.63294,92311.37005,89311,105445.4575,89956.36482,93467.23817,1540
144780.8959,145500.1657,148654.1556,145986,143890.0573,142630.439,145240.2856,1541
137199.7728,137685.0601,136749.7125,139120,134874.9087,136922.6395,137092.0156,1542
184748.3331,183030.2352,183609.0381,184336,188331.6383,228797.7145,192142.1599,1543
83326.65841,82966.91854,84767.15627,83097,81151.87624,75491.22395,81800.1389,1544
119090.9696,118744.3456,117085.3258,119934,115749.5184,104800.0593,115900.7031,1545
140001.0739,141115.1258,144274.1027,141428,137901.6686,135850.3196,140095.0484,1546
126817.5474,124965.6022,131702.3695,124235,121373.862,141146.6081,128373.4982,1547
136405.2027,132577.1674,135409.1022,133836,133482.5145,129552.6581,133543.7742,1548
123662.0901,120681.2628,122277.602,121738,120057.5095,121060.1022,121579.4278,1549
141258.4017,140768.4738,143715.6633,141008,138430.1543,143708.3517,141481.5075,1550
105955.9627,112027.652,105137.7251,111843,108993.1064,111934.614,109315.3434,1551
133109.6934,128067.1641,131961.341,127439,132818.0138,132636.4529,131005.2775,1552
147513.7751,146805.2641,147247.0867,147046,147401.3544,144196.9359,146701.736,1553
115509.3654,116428.5642,114780.6357,117519,112859.7589,117977.0462,115845.7284,1554
166430.4373,164717.9491,166261.7313,164333,159620.3949,172217.3665,165596.8132,1555
87220.61908,89672.95851,86408.65918,89636,85279.5532,88128.49186,87724.38031,1556
105073.316,108808.5405,107017.0393,109078,102981.6299,97007.39096,104994.3194,1557
103884.26,106414.9404,106059.3152,106760,101987.3595,95563.50995,103444.8975,1558
97515.81695,106270.282,93699.63433,107137,100064.898,73065.53097,96292.19371,1559
142217.0632,139767.7627,141457.5861,140287,140276.7975,132833.6853,139473.3158,1560
117302.0122,114573.5491,115949.2137,114044,116608.0027,126784.4579,117543.5393,1561
132718.6839,131739.5057,132207.2168,131647,133165.011,125948.123,131237.5901,1562
121443.3202,120763.105,122260.5256,120918,120967.6576,120007.0105,121059.9365,1563
158474.4935,156580.8812,158281.5121,156663,155141.1395,156078.1965,156869.8705,1564
150406.0448,150207.1232,152922.0946,150074,146909.3472,151304.5172,150303.8545,1565
236998.7727,240250.0246,238495.3769,242880,239773.2351,230468.2827,238144.282,1566
78627.64001,78598.49393,76581.27305,78666,78069.01003,71445.85475,76998.0453,1567
240596.5495,235029.9561,249769.9713,235512,234622.3191,234508.1543,238339.8251,1568
131622.4222,126610.3195,133237.7081,125722,129491.0856,143306.5304,131665.011,1569
143593.366,144408.5462,144841.1715,143899,146728.5479,137749.6666,143536.7164,1570
116561.537,126893.1083,112709.7594,126166,120776.7755,121223.217,120721.7329,1571
141778.3799,139582.8841,141197.3726,140736,143186.7178,150421.3804,142817.1225,1572
205841.6565,219041.9245,212402.4687,216312,212129.7946,239199.4552,217487.8833,1573
119714.9315,115091.0412,121447.4618,115338,120175.507,102552.4771,115719.9031,1574
233804.4558,229060.9973,243112.6684,229696,229920.7449,222826.5761,231403.5737,1575
253211.5581,246115.2172,257124.1616,245493,249919.2913,241306.7262,248861.6591,1576
176867.6384,179505.0967,177817.2764,178945,180761.8413,193765.2081,181277.0102,1577
158789.0476,154340.5289,154508.9563,155367,158239.9326,149606.9744,155142.0733,1578
145050.1344,145507.0056,147540.016,145140,144999.6748,143906.7075,145357.2564,1579
196195.621,196634.2047,196777.1051,197144,197413.5296,195996.572,196693.5054,1580
152903.0804,152402.4627,155178.8688,151894,153525.6665,158380.5535,154047.4386,1581
127034.8503,123035.7307,128321.9112,123014,125576.8392,129147.3782,126021.7849,1582
288776.9268,291511.2949,292982.5752,290463,285095.8004,309829.649,293109.8744,1583
214883.805,212888.414,214728.6181,212351,218574.0251,225711.5058,216522.8947,1584
137546.9549,141153.6103,137983.5934,140392,140276.625,139475.6092,139471.3988,1585
61815.34967,63303.6105,65694.49754,62630,59403.38069,66407.9458,63209.1307,1586
107870.6885,106237.6298,109471.8399,106789,108927.3182,97589.73732,106147.7023,1587
147250.8227,145026.5156,148631.2617,145814,147997.0632,154683.9756,148233.9398,1588
99002.59901,99745.44756,101614.1172,99752,94903.70162,99046.3295,99010.69915,1589
131916.3051,132040.8029,130774.6567,132149,133042.7489,132263.8899,132031.2339,1590
91795.29768,93249.98125,94021.46072,92741,89416.87472,94726.94398,92658.59306,1591
122517.219,124647.3804,120230.6001,125701,123112.1702,111823.9611,121338.7218,1592
123911.8473,125047.1708,125759.8529,125674,124008.4257,124856.1384,124876.2392,1593
116353.1149,115565.9435,114238.0546,116249,122919.1795,115375.6201,116783.4854,1594
126778.5653,126556.922,118467.518,127041,126310.6899,104879.1392,121672.3057,1595
218809.4986,225176.6198,215883.119,225763,228568.7661,235658.1256,224976.5215,1596
201188.428,193586.2318,203600.5516,193898,202042.668,164098.8865,193069.1277,1597
229808.7576,232141.4539,229162.344,234383,231867.1418,205183.0591,227090.9594,1598
173485.5386,179003.9223,176618.3738,178982,177143.2948,171618.6311,176141.9601,1599
168015.4065,176012.2568,171895.8664,174731,169673.0661,167731.4141,171343.1683,1600
60413.73064,60326.50358,61788.7546,59246,60351.20744,66584.43689,61451.77219,1601
116499.1963,118891.2576,117954.3439,119156,119079.3967,109741.2453,116886.9066,1602
76931.38698,77966.40986,77746.52288,77708,81394.12434,77250.35968,78166.13396,1603
261867.7393,257241.7431,267196.0157,256658,253889.9116,259075.5728,259321.4971,1604
244493.4293,254842.3912,245225.8572,255149,255124.085,237796.9425,248771.9509,1605
171774.24,170237.3438,169503.1062,169117,172599.4639,167612.4665,170140.6034,1606
