Id,SalePrice
1461,114905
1462,167796
1463,179199
1464,191014
1465,214275
1466,171263
1467,180938
1468,162284
1469,207652
1470,117477
1471,192043
1472,100112
1473,96529
1474,143210
1475,110930
1476,340992
1477,264634
1478,293775
1479,290232
1480,431981
1481,346493
1482,230543
1483,178850
1484,164487
1485,201634
1486,197886
1487,319648
1488,245970
1489,196629
1490,222466
1491,194567
1492,89561
1493,198759
1494,302119
1495,303364
1496,226325
1497,178350
1498,165168
1499,164251
1500,155971
1501,173147
1502,151089
1503,271262
1504,248824
1505,228486
1506,194434
1507,236021
1508,202580
1509,162034
1510,147049
1511,149240
1512,172232
1513,151900
1514,152908
1515,195939
1516,158791
1517,170356
1518,130739
1519,212135
1520,129208
1521,134234
1522,181983
1523,109317
1524,127599
1525,117674
1526,118481
1527,111064
1528,138890
1529,147726
1530,182585
1531,113222
1532,96378
1533,141405
1534,126397
1535,147322
1536,112377
1537,70441
1538,155850
1539,210128
1540,89311
1541,145986
1542,139120
1543,184336
1544,83097
1545,119934
1546,141428
1547,124235
1548,133836
1549,121738
1550,141008
1551,111843
1552,127439
1553,147046
1554,117519
1555,164333
1556,89636
1557,109078
1558,106760
1559,107137
1560,140287
1561,114044
1562,131647
1563,120918
1564,156663
1565,150074
1566,242880
1567,78666
1568,235512
1569,125722
1570,143899
1571,126166
1572,140736
1573,216312
1574,115338
1575,229696
1576,245493
1577,178945
1578,155367
1579,145140
1580,197144
1581,151894
1582,123014
1583,290463
1584,212351
1585,140392
1586,62630
1587,106789
1588,145814
1589,99752
1590,132149
1591,92741
1592,125701
1593,125674
1594,116249
1595,127041
1596,225763
1597,193898
1598,234383
1599,178982
1600,174731
1601,59246
1602,119156
1603,77708
1604,256658
1605,255149
1606,169117
1607,173532
1608,220580
1609,185027
1610,151906
1611,149976
1612,161694
1613,161592
1614,124999
1615,90756
1616,79897
1617,92321
1618,122915
1619,135636
1620,171849
1621,140781
1622,140208
1623,268879
1624,216323
1625,121651
1626,177648
1627,188602
1628,288496
1629,195497
1630,332701
1631,239756
1632,261757
1633,185590
1634,187599
1635,179297
1636,156406
1637,191511
1638,185412
1639,193324
1640,251539
1641,194628
1642,235496
1643,215636
1644,238109
1645,189579
1646,160151
1647,172307
1648,129566
1649,137995
1650,112322
1651,121384
1652,102216
1653,102887
1654,144194
1655,138696
1656,141306
1657,146301
1658,146409
1659,116385
1660,161546
1661,397099
1662,381301
1663,352403
1664,455258
1665,292488
1666,333232
1667,337293
1668,324775
1669,305362
1670,332259
1671,269019
1672,387800
1673,303317
1674,256936
1675,206646
1676,203769
1677,234140
1678,430114
1679,369257
1680,319241
1681,241850
1682,325162
1683,197370
1684,175358
1685,174224
1686,172219
1687,182126
1688,193599
1689,195354
1690,201038
1691,193545
1692,262162
1693,178620
1694,183000
1695,172266
1696,268149
1697,173315
1698,343277
1699,312294
1700,253624
1701,280802
1702,243579
1703,247568
1704,278938
1705,238602
1706,235179
1707,205880
1708,201132
1709,266401
1710,222517
1711,268197
1712,251269
1713,261287
1714,228535
1715,213111
1716,176651
1717,179771
1718,136752
1719,211752
1720,245856
1721,162462
1722,121997
1723,151174
1724,206776
1725,237151
1726,186984
1727,158578
1728,176956
1729,167606
1730,151135
1731,127865
1732,121518
1733,112008
1734,123257
