Id,SalePrice
1461,119347
1462,162394
1463,184412
1464,201511
1465,196479
1466,170318
1467,172602
1468,168160
1469,187342
1470,122431
1471,178809
1472,98700
1473,97957
1474,145000
1475,113393
1476,334967
1477,249758
1478,293375
1479,294045
1480,467134
1481,334696
1482,222369
1483,176851
1484,170405
1485,195102
1486,197547
1487,331159
1488,230355
1489,193087
1490,240842
1491,194948
1492,90823
1493,194273
1494,299752
1495,283994
1496,231213
1497,170850
1498,174068
1499,160677
1500,162060
1501,176600
1502,154062
1503,261875
1504,243254
1505,231986
1506,192674
1507,238140
1508,195861
1509,154558
1510,150878
1511,154890
1512,171522
1513,141286
1514,157284
1515,185888
1516,154031
1517,168324
1518,131652
1519,208197
1520,132676
1521,135688
1522,174228
1523,112107
1524,118281
1525,118968
1526,114861
1527,106890
1528,129020
1529,151593
1530,195654
1531,125078
1532,96490
1533,143914
1534,119911
1535,150302
1536,113399
1537,74056
1538,158008
1539,178994
1540,84324
1541,139946
1542,129195
1543,177952
1544,85636
1545,116453
1546,136816
1547,130404
1548,128921
1549,121549
1550,142409
1551,109256
1552,136638
1553,139610
1554,120812
1555,168009
1556,85899
1557,98220
1558,106758
1559,100822
1560,137924
1561,110524
1562,133665
1563,124167
1564,162555
1565,151515
1566,226529
1567,80228
1568,247468
1569,138375
1570,142072
1571,118599
1572,139986
1573,239892
1574,112988
1575,238821
1576,258327
1577,181716
1578,144271
1579,151822
1580,192621
1581,161693
1582,126210
1583,298307
1584,217868
1585,143838
1586,72204
1587,112037
1588,149327
1589,100677
1590,131701
1591,97840
1592,121131
1593,121209
1594,118681
1595,118450
1596,217948
1597,195208
1598,211688
1599,170516
1600,166961
1601,67172
1602,114278
1603,79636
1604,274914
1605,236150
1606,165297
1607,180131
1608,226066
1609,181374
1610,157522
1611,143079
1612,169413
1613,171317
1614,124267
1615,90618
1616,78135
1617,93360
1618,131766
1619,143216
1620,153894
1621,132112
1622,145983
1623,256671
1624,217306
1625,116524
1626,178829
1627,193204
1628,276422
1629,178197
1630,331271
1631,230261
1632,242152
1633,178010
1634,189110
1635,177087
1636,153570
1637,192249
1638,190554
1639,186130
1640,240040
1641,180528
1642,241165
1643,223889
1644,234722
1645,211194
1646,160346
1647,158447
1648,130374
1649,143263
1650,118819
1651,122807
1652,99398
1653,101101
1654,143702
1655,134983
1656,142830
1657,146659
1658,151385
1659,119504
1660,160964
1661,424288
1662,351143
1663,346002
1664,512323
1665,282661
1666,322212
1667,336579
1668,317409
1669,289609
1670,320843
1671,280331
1672,393030
1673,300492
1674,248242
1675,212280
1676,208133
1677,231024
1678,436958
1679,379296
1680,299916
1681,232757
1682,324243
1683,197536
1684,182624
1685,180962
1686,178945
1687,171879
1688,196583
1689,195747
1690,203871
1691,194960
1692,250135
1693,172786
1694,185211
1695,163384
1696,279637
1697,167552
1698,337572
1699,325583
1700,257186
1701,265970
1702,232351
1703,240986
1704,269381
1705,245497
1706,238373
1707,204207
1708,205202
1709,258852
1710,225106
1711,275714
1712,254715
1713,264253
1714,218586
1715,205844
1716,177206
1717,179001
1718,133551
1719,211014
1720,228282
1721,157027
1722,120369
1723,153130
1724,197647
1725,236631
1726,183488
1727,156901
1728,169711
1729,167494
1730,147028
1731,120403
1732,128397
1733,115136
1734,124319
1735,120398
1736,107112
1737,286407
1738,251355
1739,229767
1740,226653
1741,202115
1742,168082
1743,175198
1744,306965
1745,210200
1746,179854
1747,215798
1748,217135
1749,143393
1750,123980
1751,245044
1752,117313
1753,150564
1754,197005
1755,171683
1756,130370
1757,121169
1758,149295
1759,162270
1760,164440
1761,153641
1762,171937
1763,188507
1764,116668
1765,140553
1766,191024
1767,209585
1768,142396
1769,166412
1770,154974
1771,118991
1772,133175
1773,128888
1774,143952
1775,142704
1776,124155
1777,104473
1778,141600
1779,125448
1780,164167
1781,123950
1782,95475
1783,146693
1784,118917
1785,112601
1786,148613
1787,167506
1788,65312
1789,96969
1790,91554
1791,190417
1792,150597
1793,125599
1794,155439
1795,134691
1796,130204
1797,116427
1798,122067
1799,110283
1800,130493
1801,131614
1802,137447
1803,148096
1804,140402
1805,134680
1806,116352
1807,130046
1808,118104
1809,121566
1810,140203
1811,84269
1812,96463
1813,119386
1814,97993
1815,57950
1816,92444
1817,119118
1818,149159
1819,130955
1820,70835
1821,104966
1822,152177
1823,57140
1824,122654
1825,144268
1826,112709
1827,104222
1828,132602
1829,116814
1830,137601
1831,139312
1832,81351
1833,134310
1834,126258
1835,108393
1836,111311
1837,88203
1838,120187
1839,104636
1840,142468
1841,133447
1842,95689
1843,138527
1844,142211
1845,148194
1846,155117
1847,174050
1848,66738
1849,105381
1850,118102
1851,148037
1852,129354
1853,131884
1854,159477
1855,154629
1856,231242
1857,139780
1858,130244
1859,120362
1860,151544
1861,119846
1862,304605
1863,283411
1864,283451
1865,307809
1866,293524
1867,218624
1868,278035
1869,206653
1870,216313
1871,249765
1872,184164
1873,255543
1874,145506
1875,193612
1876,202379
1877,206017
1878,202220
1879,138861
1880,125979
1881,238345
1882,241482
1883,178638
1884,196198
1885,219841
1886,272890
1887,217453
1888,257890
1889,181693
1890,125898
1891,124505
1892,104403
1893,128315
1894,127986
1895,137751
1896,125961
1897,126206
1898,120864
1899,150103
1900,152719
1901,166407
1902,151553
1903,217358
1904,138347
1905,197166
1906,122985
1907,203818
1908,109604
1909,131328
1910,119580
1911,215183
1912,310671
1913,141397
1914,73418
1915,293770
1916,57544
1917,238276
1918,140271
1919,167082
1920,151262
1921,345707
1922,289413
1923,230204
1924,249578
1925,200499
1926,345135
1927,133840
1928,165593
1929,119943
1930,130038
1931,139734
1932,134939
1933,189614
1934,180531
1935,175090
1936,197174
1937,183128
1938,171047
1939,249430
1940,193309
1941,166265
1942,170535
1943,226727
1944,368810
1945,367421
1946,147466
1947,188707
1948,168188
1949,229518
1950,186224
1951,242328
1952,208391
1953,173545
1954,177925
1955,135153
1956,300091
1957,149147
1958,274738
1959,146999
1960,113535
1961,125761
1962,97445
1963,104382
1964,106426
1965,144872
1966,134722
1967,292553
1968,398007
1969,356939
1970,398531
1971,458911
1972,367757
1973,291909
1974,329479
1975,447934
1976,281560
1977,345204
1978,353494
1979,299201
1980,204546
1981,310472
1982,229928
1983,214608
1984,169939
1985,229254
1986,212061
1987,190700
1988,183577
1989,197899
1990,214282
1991,238859
1992,218980
1993,175140
1994,226331
1995,186117
1996,255969
1997,301571
1998,299699
1999,289529
2000,310478
2001,293368
2002,241250
2003,261089
2004,289173
2005,222030
2006,221642
2007,250607
2008,230473
2009,201722
2010,193860
2011,135986
2012,175049
2013,182286
2014,186052
2015,212613
2016,192884
2017,194587
2018,123396
2019,131650
2020,98878
2021,109923
2022,196702
2023,136716
2024,286684
2025,344954
2026,181096
2027,164944
2028,151931
2029,164707
2030,253019
2031,226651
2032,231438
2033,240177
2034,172158
2035,223607
2036,195642
2037,206647
2038,281977
2039,233191
2040,275035
2041,270889
2042,209588
2043,178722
2044,161819
2045,204049
2046,151765
2047,137787
2048,144511
2049,147004
2050,164244
2051,103048
2052,128270
2053,147950
2054,97278
2055,144258
2056,145776
2057,121490
2058,218632
2059,138371
2060,171573
2061,163437
2062,127890
2063,119787
2064,140027
2065,118806
2066,166184
2067,102926
2068,147619
2069,82911
2070,112897
2071,101695
2072,136625
2073,127472
2074,174664
2075,146830
2076,120799
2077,158740
2078,125118
2079,129030
2080,111453
2081,123270
2082,122182
2083,143343
2084,110620
2085,120343
2086,112695
2087,123875
2088,106128
2089,83179
2090,126088
2091,108491
2092,125714
2093,102439
2094,100932
2095,153045
2096,86206
2097,103195
2098,143148
2099,68086
2100,84854
2101,114327
2102,124464
2103,109119
2104,143223
2105,133528
2106,87686
2107,193073
2108,114335
2109,110958
2110,124196
2111,128061
2112,140320
2113,119532
2114,120995
2115,159277
2116,114049
2117,147048
2118,126185
2119,117640
2120,119981
2121,87379
2122,120371
2123,82584
2124,156198
2125,130861
2126,159323
2127,154636
2128,117553
2129,76744
2130,127574
2131,138321
2132,103136
2133,113967
2134,112266
2135,86873
2136,72628
2137,109543
2138,129366
2139,147539
2140,136992
2141,152909
2142,130945
2143,148274
2144,115284
2145,140088
2146,164282
2147,144839
2148,138554
2149,149948
2150,233862
2151,121170
2152,158423
2153,172028
2154,100331
2155,137533
2156,232419
2157,231460
2158,246661
2159,212166
2160,192517
2161,233376
2162,366932
2163,320397
2164,252300
2165,206708
2166,155970
2167,222602
2168,195444
2169,195913
2170,212594
2171,153221
2172,135254
2173,168929
2174,221566
2175,288134
2176,305187
2177,242043
2178,211211
2179,140621
2180,210722
2181,194594
2182,216417
2183,191749
2184,123122
2185,125339
2186,142390
2187,153342
2188,154668
2189,261699
2190,78655
2191,79967
2192,89968
2193,104151
2194,101877
2195,113933
2196,103283
2197,119512
2198,148259
2199,182335
2200,148258
2201,145450
2202,207748
2203,150261
2204,180907
2205,123444
2206,142225
2207,212636
2208,253552
2209,243355
2210,121759
2211,107029
2212,114725
2213,100447
2214,126190
2215,97834
2216,135948
2217,63507
2218,90404
2219,87016
2220,78747
2221,295676
2222,277580
2223,267921
2224,203234
2225,121396
2226,183635
2227,201093
2228,266405
2229,256139
2230,154669
2231,211658
2232,182266
2233,190552
2234,247803
2235,220848
2236,257826
2237,301549
2238,200058
2239,100231
2240,153256
2241,163665
2242,122567
2243,126738
2244,108691
2245,105082
2246,136577
2247,108412
2248,122521
2249,125826
2250,128343
2251,128480
2252,177873
2253,159187
2254,178446
2255,186645
2256,167606
2257,203346
2258,156502
2259,178078
2260,139489
2261,204147
2262,224150
2263,371440
2264,512992
2265,171924
2266,285901
2267,358763
2268,463914
2269,153170
2270,195770
2271,206087
2272,197720
2273,160860
2274,184526
2275,159508
2276,194263
2277,179596
2278,139390
2279,131970
2280,111410
2281,168587
2282,182294
2283,106538
2284,111358
2285,139790
2286,122490
2287,349164
2288,284131
2289,353276
2290,430608
2291,325224
2292,402618
2293,421400
2294,376324
2295,458603
2296,284383
2297,338895
2298,333928
2299,343860
2300,320639
2301,314658
2302,258380
2303,247799
2304,255209
2305,210722
2306,204086
2307,217256
2308,246621
2309,266225
2310,224651
2311,216875
2312,175563
2313,177605
2314,175099
2315,186427
2316,198986
2317,190885
2318,182970
2319,185529
2320,179154
2321,237720
2322,192353
2323,195641
2324,186523
2325,213189
2326,176811
2327,203987
2328,225296
2329,193231
2330,183603
2331,347470
2332,368386
2333,310436
2334,260514
2335,277785
2336,302978
2337,187752
2338,254202
2339,218343
2340,344969
2341,216258
2342,231971
2343,238699
2344,203724
2345,227242
2346,212236
2347,200820
2348,240195
2349,186995
2350,293263
2351,249254
2352,246069
2353,253710
2354,139671
2355,140596
2356,151970
2357,189009
2358,203032
2359,130984
2360,116769
2361,143656
2362,257753
2363,138385
2364,158079
2365,217604
2366,199729
2367,219204
2368,222388
2369,216981
2370,167571
2371,160611
2372,198544
2373,286862
2374,307406
2375,242541
2376,300224
2377,317598
2378,154905
